t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.094274,-0.29374,-0.12583,-0.21069,0.98367,-3.0981,-0.053843,-0.22664,-0.015399,0.052748,0.028356,-0.18968,0.28675,0.3349,-0.24441,-0.18365,2.6382,3.0057,0.15669,0.22854,-0.15,-0.094895,0.059069,0.17211,-0.086423,-0.036748,-0.044109,-0.060522,0.27845,-0.32521,-0.06042,-0.023099,-0.0022722,0.0017097,5.8889e-05,-0.0082707
0.01,0.0969,-0.31793,-0.13053,-0.21958,1.0048,-3.3469,-0.060419,-0.24399,-0.012119,0.056822,0.030642,-0.20473,0.18142,0.22022,-0.16311,-0.13721,1.7499,1.9713,0.099044,0.1504,-0.099713,-0.062792,0.037195,0.11474,-0.08589,-0.037446,-0.043302,-0.060463,0.27101,-0.32775,-0.059923,-0.023299,-0.0020966,0.0016793,0.00020204,-0.0081564
0.02,0.085954,-0.28698,-0.11303,-0.18782,0.86169,-3.0168,-0.052782,-0.21903,-0.0098208,0.05071,0.027707,-0.18457,0.11403,0.14398,-0.10756,-0.10095,1.1491,1.2861,0.060982,0.098493,-0.065389,-0.041053,0.023187,0.075944,-0.084961,-0.037472,-0.042836,-0.06021,0.2676,-0.32401,-0.059094,-0.022992,-0.0022836,0.001477,0.00041007,-0.0076759
0.03,0.087654,-0.29019,-0.11357,-0.1817,0.86201,-3.0497,-0.051509,-0.22026,-0.01109,0.050387,0.028755,-0.18639,0.12391,0.15537,-0.12973,-0.1355,1.3566,1.3742,0.061484,0.10621,-0.075246,-0.045579,0.026094,0.082878,-0.084042,-0.037494,-0.042374,-0.059616,0.26433,-0.32014,-0.058294,-0.02263,-0.0025504,0.0012872,0.0006004,-0.0071959
0.04,0.088212,-0.29045,-0.11218,-0.17118,0.84683,-3.0504,-0.049907,-0.21904,-0.012375,0.049786,0.029336,-0.18607,0.12424,0.15558,-0.14272,-0.16197,1.4679,1.3638,0.057252,0.10658,-0.079535,-0.047006,0.027059,0.08436,-0.083163,-0.037586,-0.041889,-0.058732,0.26088,-0.31688,-0.057557,-0.022267,-0.0028577,0.0011288,0.0007688,-0.0067589
0.05,0.088795,-0.29044,-0.11051,-0.15901,0.82959,-3.0478,-0.048345,-0.21746,-0.013984,0.049291,0.029822,-0.18536,0.12364,0.15441,-0.15528,-0.18839,1.574,1.3411,0.052445,0.10627,-0.083303,-0.048236,0.027945,0.085465,-0.082303,-0.037715,-0.041398,-0.057618,0.25743,-0.31389,-0.05686,-0.021887,-0.0032052,0.00099128,0.00091994,-0.0063461
0.06,0.089582,-0.29063,-0.10872,-0.14581,0.81155,-3.047,-0.04688,-0.21591,-0.015872,0.048969,0.030264,-0.18461,0.12294,0.15276,-0.16834,-0.21549,1.6841,1.3141,0.047438,0.10592,-0.087075,-0.049554,0.028939,0.086688,-0.081459,-0.037874,-0.040901,-0.056318,0.25399,-0.31114,-0.056196,-0.021489,-0.0035829,0.000872,0.0010551,-0.0059555
0.07,0.090517,-0.2908,-0.10674,-0.13176,0.79216,-3.0456,-0.045451,-0.21422,-0.017982,0.048768,0.03064,-0.18369,0.12196,0.15046,-0.18141,-0.24236,1.7939,1.2815,0.042214,0.10542,-0.090674,-0.050862,0.029972,0.087927,-0.080624,-0.038055,-0.040404,-0.054877,0.25058,-0.30855,-0.05556,-0.021073,-0.0039829,0.0007681,0.0011757,-0.005584
0.08,0.091627,-0.29096,-0.10458,-0.11711,0.77164,-3.0438,-0.044043,-0.21243,-0.020267,0.048677,0.030962,-0.18261,0.12056,0.14738,-0.19404,-0.26816,1.8993,1.2424,0.036799,0.10469,-0.093941,-0.052073,0.030979,0.089083,-0.079795,-0.038252,-0.039907,-0.053329,0.24723,-0.30608,-0.054945,-0.020637,-0.0043975,0.00067701,0.0012831,-0.0052289
0.09,0.09293,-0.2911,-0.10227,-0.10213,0.75015,-3.0418,-0.042638,-0.21054,-0.022682,0.048682,0.031234,-0.18141,0.1189,0.14374,-0.20622,-0.29259,2.0003,1.1987,0.031312,0.10387,-0.096925,-0.05321,0.031971,0.090236,-0.078969,-0.038458,-0.039415,-0.051707,0.24395,-0.30367,-0.054348,-0.020181,-0.0048195,0.00059648,0.0013787,-0.0048882
