t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12042,3.8541e-07,-0.022823,-0.00020505,-0.1905,6.6497e-05,11.398,0.00012019,-4.4713,-0.10933,0.15346,0.036348
0.02,0.24078,1.7809e-07,-0.044672,-0.0026228,-0.18858,0.00083615,11.419,0.001501,-4.3558,-0.32065,0.23777,0.10761
0.03,0.36109,4.3543e-06,-0.065606,-0.0073353,-0.18595,0.002344,11.443,0.0036692,-4.2385,-0.55911,0.2858,0.18945
0.04,0.48137,1.8984e-05,-0.085683,-0.014364,-0.18285,0.0046053,11.469,0.0061334,-4.1212,-0.76492,0.32432,0.26237
0.05,0.60163,5.5043e-05,-0.10496,-0.023464,-0.1794,0.0075482,11.495,0.008325,-4.0053,-0.94473,0.35331,0.32829
0.06,0.72188,0.00012636,-0.12348,-0.034379,-0.17567,0.011097,11.522,0.0097516,-3.8919,-1.1093,0.37025,0.39055
0.07,0.84213,0.00024888,-0.1413,-0.04692,-0.17176,0.015198,11.548,0.010046,-3.7821,-1.2543,0.37786,0.44773
0.08,0.96239,0.0004405,-0.15848,-0.060885,-0.16773,0.019797,11.574,0.0089133,-3.6769,-1.3802,0.37702,0.50005
0.09,1.0827,0.00072035,-0.17506,-0.076076,-0.16364,0.024842,11.6,0.0061244,-3.5769,-1.4885,0.36828,0.548
0.1,1.203,0.0011085,-0.19109,-0.092307,-0.15957,0.030292,11.624,0.0015202,-3.4828,-1.5795,0.35259,0.59173
0.11,1.3233,0.0016257,-0.20661,-0.1094,-0.15555,0.036108,11.648,-0.0049974,-3.3952,-1.6539,0.33084,0.63151
0.12,1.4437,0.0022929,-0.22168,-0.12719,-0.15162,0.042259,11.67,-0.013479,-3.3145,-1.7127,0.30396,0.66765
0.13,1.5641,0.0031313,-0.23634,-0.14551,-0.14783,0.048719,11.691,-0.023928,-3.241,-1.7568,0.27292,0.70043
0.14,1.6846,0.0041622,-0.25062,-0.16422,-0.1442,0.055466,11.711,-0.036309,-3.1746,-1.7874,0.23873,0.73013
