t, affine_elevL, affine_elevR, affine_throttle
0,1.543e-05,-1.7273e-05,5.2341e-07
0.01,-0.001486,0.0010566,-4.3118e-05
0.02,0.0011392,-0.00054087,3.2983e-05
0.03,4.9949e-05,-2.6376e-05,1.3252e-06
0.04,-0.00026219,0.00014501,-6.4521e-06
0.05,9.5783e-05,-5.5108e-05,2.2759e-06
0.06,7.1621e-06,-3.7618e-06,1.7022e-07
0.07,-2.0283e-05,1.2731e-05,-3.6018e-07
0.08,6.8575e-06,-4.7713e-06,1.709e-07
0.09,5.5852e-07,1.8658e-07,2.9215e-08
0.1,-1.2826e-06,8.1342e-07,2.1364e-08
0.11,-1.3765e-08,-1.978e-08,2.7565e-08
0.12,-5.3032e-08,2.7635e-07,1.8886e-08
0.13,-5.3131e-07,1.2832e-07,2.0015e-08
0.14,-1.2381e-06,1.523e-06,7.1592e-09
0.15,-2.916e-07,2.8814e-07,1.1333e-08
0.16,-1.0575e-06,1.0218e-06,5.444e-09
0.17,-1.8505e-06,2.4038e-06,5.548e-09
0.18,-2.0001e-07,9.5362e-08,4.4941e-09
0.19,-1.6704e-06,1.7106e-06,4.2633e-11
0.2,-1.8248e-06,2.4362e-06,7.878e-09
0.21,-5.2691e-07,5.2874e-07,5.0162e-10
0.22,-1.3884e-06,1.5e-06,3.7665e-10
0.23,-1.8523e-06,2.258e-06,7.0532e-09
0.24,-5.3584e-07,5.3962e-07,-1.7833e-09
0.25,-1.5032e-06,1.6046e-06,1.19e-09
0.26,-1.6725e-06,1.9817e-06,5.1479e-09
0.27,-6.0059e-07,6.8314e-07,-2.9315e-09
0.28,-1.3948e-06,1.5085e-06,5.8811e-10
0.29,-1.2093e-06,1.335e-06,-3.9312e-10
0.3,-8.2718e-07,9.0132e-07,-3.8246e-09
0.31,-1.1494e-06,1.2436e-06,-2.2576e-09
0.32,-7.3152e-07,7.5037e-07,-6.0575e-09
0.33,-1.1971e-08,-7.0315e-08,-1.2043e-08
0.34,-6.5148e-07,8.2544e-07,-5.5122e-09
0.35,-8.0617e-07,7.9862e-07,-7.3394e-09
0.36,-3.7088e-07,3.1456e-07,-1.1385e-08
0.37,-8.9578e-07,1.0159e-06,-6.3682e-09
0.38,-4.1295e-07,4.142e-07,-1.1551e-08
0.39,-4.7874e-07,4.0885e-07,-1.2392e-08
0.4,-3.4605e-07,5.4445e-07,-1.0999e-08
0.41,-1.2524e-07,1.2705e-07,-1.4859e-08
0.42,2.238e-07,-3.1464e-07,-1.9307e-08
